"","Stage","Northern","Southern","HemiSwitch","Temp"
"1",14,NA,NA,NA,36.5429346984
"2",15,10.6,5.26,5.26,33.71126738176
"3",16,0,51.09,51.09,29.07508867328
"4",17,-0.0449999999999999,6.925,6.925,27.04639214144
"5",18,1.3925,1.13,1.13,22.55096676672
"6",19,-0.0900000000000016,0.18,-0.0900000000000016,21.42014404148
"7",20,0,-0.0324999999999989,-0.0324999999999989,16.52510886608
"8",21,0,-8.6,-8.6,20.50277142528
"9",22,-0.0650000000000004,-0.170000000000002,-0.170000000000002,19.21311616208
"10",23,-0.66,-0.982500000000002,-0.982500000000002,24.58726837332
"11",24,0,-6,-6,23.37843257616
"12",25,-10.46,-0.279999999999998,-0.279999999999998,21.72084677108
"13",26,0,16.65,16.65,26.30685161538
"14",27,-2.15,0.350000000000001,0.350000000000001,23.60421935508
"15",28,0.48,-2.62,0.48,27.15924892148
"16",29,3.55,-1.585,3.55,26.87573124352
"17",30,-0.74,-1.7375,-0.74,26.87642593012
"18",31,4.08,-3.1925,4.08,30.19724318292
"19",32,-0.345,-8.815,-8.815,20.10782810388
"20",33,0.81,-7.29,-7.29,25.01531129748
"21",34,1.18,-1.405,-1.405,28.40230111162
"22",35,-0.84,0,0,30.09588366628
"23",36,0,1.15,1.15,25.22060442548
"24",37,-6.12,0,0,25.49826979746
"25",38,NA,-2.02,-2.02,24.21679609552
"26",39,0,-0.76,-0.76,19.50894236052
"27",40,-1.8,0.53,0.53,23.10370400298
"28",41,0,-0.5275,-0.5275,20.92915189796
"29",42,2.115,0,0,22.93158975732
"30",43,-3.9,-0.35,-0.35,22.227078997
"31",44,-2.695,-25.91,-2.695,22.30710590708
"32",45,12.775,-10.68,12.775,34.03346325716
"33",46,12.71,4.9075,12.71,28.03206647248
"34",47,6.32,0,6.32,27.48670365874
"35",48,2.97,-13.54,2.97,26.73272808912
"36",49,1.18,-0.43,1.18,24.39875085162
"37",50,0,0.0600000000000023,0.0600000000000023,27.69576155476
"38",51,0.0399999999999991,1.92,1.92,28.90744375444
"39",52,-2.0325,-0.0299999999999994,-0.0299999999999994,27.13438079567
"40",53,0.0199999999999996,-0.844999999999999,-0.844999999999999,25.3613178369
"41",54,8.47,0.0299999999999994,0.0299999999999994,31.38448520532
"42",55,0,-79.025,0,29.8918332125
"43",56,0,0.199999999999996,0,26.082061517
"44",57,-4.03,-31.58,-4.03,25.02105288842
"45",58,0.260000000000002,-10.38,0.260000000000002,23.3933988941
"46",59,3.2975,0.0150000000000006,0.0150000000000006,21.54554733666
"47",60,0.0249999999999986,0,0.0249999999999986,21.78625495336
"48",61,0.184999999999995,2.7575,0.184999999999995,21.064831893
"49",62,0,-3.19,0,24.5500323377
"50",63,0,-0.125,0,20.6584674205
"51",64,0.169999999999998,38.46,0.169999999999998,19.27083794772
"52",65,-1.725,15.0775,-1.725,16.876067408
"53",66,-3.45,4.675,-3.45,19.764201792
"54",67,-0.109999999999999,-0.335000000000001,-0.109999999999999,20.87717464272
"55",68,0,-6.47,0,23.18808324692
"56",69,-1.78,-4.66,-1.78,23.404524325
"57",70,-13.31,7.61499999999999,-13.31,24.83702853812
"58",71,-0.119999999999997,0.14500000000001,0.14500000000001,19.36087923674
"59",72,0.440000000000001,-25.05,-25.05,18.31584539968
"60",73,0.190000000000001,-4.015,-4.015,20.2811080625
"61",74,-1.92,-31.03,-1.92,17.8914211113
"62",75,-1.97,-2.43500000000001,-1.97,28.531240573
"63",76,0.0399999999999991,30.78,0.0399999999999991,33.838026777757
"64",77,-0.509999999999998,-0.442499999999999,-0.509999999999998,36.482364600033
"65",78,0,-1.54,0,35.07002589748
"66",79,1.495,-0.00500000000000256,1.495,35.07854668372
"67",80,-1.61,3.085,-1.61,23.2847833
"68",81,-0.0399999999999991,0,-0.0399999999999991,22.158076148
"69",82,0.102499999999999,2.085,0.102499999999999,21.302055893625
"70",83,1.7375,35.82,1.7375,23.893892352
"71",84,0.390000000000001,-10.955,0.390000000000001,31.1577867926848
"72",85,0.469999999999999,41.21,0.469999999999999,24.9388056608218
"73",86,0.217500000000001,-0.264999999999993,0.217500000000001,23.0798873999168
"74",87,-0.634999999999998,-4.25,-0.634999999999998,19.8905888754512
"75",88,0,0.485000000000007,0,19.48655741517
"76",89,0.18,-0.115000000000002,0.18,20.86667067058
"77",90,2.41,3.24,2.41,21.102279033597
"78",91,-0.670000000000002,8.685,-0.670000000000002,21.8235547590984
"79",92,8.21,-16.495,8.21,22.2852214908522
"80",93,0,3.4225,0,23.7923002775141
"81",94,0.199999999999999,0.0899999999999999,0.199999999999999,22.0383941640412
